ImageName,Tool,Job Name,Setup Name,Recipe,Recipe Name,Wafer,Lot,Col,Row,Mode,OClass,Index,Wafer X,Wafer Y,XInFrame,YInFrame,Zone
images/lot_01/40222.213931.c.844763824.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,1,17,Color,1,134217756,40227.80043451689,213933.32382328145,0,0,63
images/lot_01/46230.227702.c.1977528071.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,1,18,Color,1,134217757,46231.38787230755,227704.63498252898,0,0,63
images/lot_01/39018.222001.c.312579125.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,1,18,Color,1,134217758,39020.208897230346,222003.93851181446,0,0,63
images/lot_01/43190.101027.c.-1365293534.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,1,7,Color,1,134217759,43188.58718142715,101031.13330108147,0,0,63
images/lot_01/41660.216319.c.1936429970.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,1,17,Color,1,134217760,41659.63276739819,216320.27398864587,0,0,63
images/lot_01/61311.248259.c.2024629824.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,20,Color,1,134217761,61310.44587380652,248259.68826132314,0,0,63
images/lot_01/53317.228445.c.1743467057.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,18,Color,1,134217762,53317.62328203722,228447.83249923142,0,0,63
images/lot_01/55646.79113.c.-637232887.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,5,Color,1,134217763,55646.852084823564,79116.56634036642,0,0,63
images/lot_01/57425.95711.c.-1362920763.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,6,Color,1,134217764,57426.877464750374,95714.70061631576,0,0,63
images/lot_01/56729.95264.c.-1811426001.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,6,Color,1,134217765,56731.72686606774,95268.25127677547,0,0,63
images/lot_01/54494.85463.c.210163462.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,5,Color,1,134217766,54493.75236469409,85466.70554888101,0,0,63
images/lot_01/57901.79494.c.-215832760.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,2,5,Color,1,134217767,57901.15534403674,79496.95060079657,0,0,63
images/lot_01/73463.244110.c.-953625077.2.jpeg,EAGLET_106739,MTK-AHJ11236,setup1,2,x3.5 Surface,01,lot,3,20,Color,30,134217768,73462.81050518726,244110.59625831738,0,0,63
