DefectId, FileType, DefectOrderInFlt, Sx, Sy, Length, BoxDist,Bx, By, Diameter, Obj Width, Obj Height, BClass, Col, Row, iX, iY, width, height, EdgeX, EdgeY, SClass, OClass, ClusterId, GroupId, Zone, Area, PMObjectsNb, PMAbsoluteMicArea, PMProximityX, PMProximityY,GroupArea,GroupLength,GroupEdgeDist,BumpAvgD,Degrees,Recipe,ImageName,ImageType,PixelSize,ImageX,ImageY,RefPixelSize,RefImageX,RefImageY
268435530,surface.flt,74,205865.62,226085.21,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,15,20,12230.62,7995.21,7.23,12.04,674.77,2903.27,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,674.77,0.00,0.000,2,205858.226084.c.-1098208404.2.jpeg,C,0.69,689.999999999707,517.99999999912,1.000,12230.6202632258,7995.21012095339
268435531,surface.flt,75,226494.60,293994.92,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,17,26,7041.60,10477.92,9.64,9.64,5862.58,421.76,2,1,-1,-1,63,75.442653,-1,-1,-1,-1,0.00,0.00,421.76,0.00,0.000,2,226491.293994.c.909425451.2.jpeg,C,0.69,689.999999999329,518.000000000419,1.000,7041.60250407754,10477.9236480253
268435532,surface.flt,76,231815.70,287341.26,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,17,26,12362.70,3824.26,12.04,7.23,540.28,3820.64,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,540.28,0.00,0.000,2,231816.287341.c.1197757826.2.jpeg,C,0.69,690.000000000084,518.000000000168,1.000,12362.6974492851,3824.25817004713
268435533,surface.flt,77,244717.12,44203.28,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,18,4,12355.12,585.28,12.04,7.23,547.86,581.66,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,547.86,0.00,0.000,2,244712.44201.c.-704407851.2.jpeg,C,0.69,690.000000000461,517.999999999937,1.000,12355.1154253293,585.278202277157
268435534,surface.flt,78,233498.05,283154.74,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,18,25,1136.05,10542.24,9.64,9.64,1131.23,357.44,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,357.44,0.00,0.000,2,233494.283154.c.794075460.2.jpeg,C,0.69,689.999999999916,518.000000000335,1.000,1136.05261980795,10542.2410779422
268435535,surface.flt,79,244562.15,281425.40,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,18,25,12200.15,8812.90,9.64,9.64,704.03,2086.78,2,1,-1,-1,63,75.442653,-1,-1,-1,-1,0.00,0.00,704.03,0.00,0.000,2,244560.281425.c.-327360856.2.jpeg,C,0.69,690.000000000251,517.999999999916,1.000,12200.1508561802,8812.90309777192
268435536,surface.flt,80,250985.54,270650.23,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,19,24,5714.54,8942.23,9.64,12.05,5709.72,1956.24,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,1956.24,0.00,0.000,2,250984.270650.c.1416539081.2.jpeg,C,0.69,690,518.000000000671,1.000,5714.53695720999,8942.23317448649
268435537,surface.flt,81,256425.32,61515.47,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,19,5,11154.32,6992.97,9.64,9.64,1749.86,3906.71,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,1749.86,0.00,0.000,2,256420.61514.c.1570679280.2.jpeg,C,0.69,689.999999999958,517.999999999979,1.000,11154.322691075,6992.96910745249
268435538,surface.flt,82,254727.32,64866.91,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0,19,5,9456.32,10344.41,9.64,12.04,3447.86,554.06,2,1,-1,-1,63,81.245934,-1,-1,-1,-1,0.00,0.00,554.06,0.00,0.000,2,254723.64866.c.1382159840.2.jpeg,C,0.69,689.999999999036,517.999999999916,1.000,9456.32196342232,10344.4129554166
268435539,surface.flt,83,260486.95,106863.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0,20,9,2306.95,8722.88,9.64,14.45,2302.13,2174.39,2,1,-1,-1,63,104.459058,-1,-1,-1,-1,0.00,0.00,2174.39,0.00,0.000,2,260484.106863.c.-1614171001.2.jpeg,C,0.69,690.000000000335,518.000000000733,1.000,2306.94587384723,8722.8816467385
268435540,surface.flt,84,260355.47,228368.25,12.05,0.00,0.00,0.00,0.00,0.00,0.00,0,20,20,2175.47,10278.25,12.04,7.23,2169.45,622.63,2,1,-1,-1,63,58.03281,-1,-1,-1,-1,0.00,0.00,622.63,0.00,0.000,2,260355.228367.c.-83056378.2.jpeg,C,0.69,690,517.999999999707,1.000,2175.473063502,10278.2535773328
268435541,surface.flt,85,283443.72,76898.76,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,21,7,12354.72,567.26,12.05,12.05,548.26,561.24,2,1,-1,-1,63,81.245934,-1,-1,-1,-1,0.00,0.00,548.26,0.00,0.000,2,283440.76897.c.683309871.2.jpeg,C,0.69,689.999999999581,518.000000000021,1.000,12354.7191085007,567.260562931813
268435542,surface.flt,86,283454.02,90896.48,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,21,8,12365.02,3660.48,9.64,9.64,539.16,3655.67,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,539.16,0.00,0.000,2,283449.90895.c.1065431571.2.jpeg,C,0.69,689.999999999246,517.999999999895,1.000,12365.0223078644,3660.48316009533
268435543,surface.flt,87,268333.59,89229.86,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,20,8,10153.59,1993.86,12.05,7.23,2749.39,1990.24,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,1990.24,0.00,0.000,2,268327.89228.c.-1225337024.2.jpeg,C,0.69,689.999999999162,518,1.000,10153.5892811204,1993.85604046501
268435544,surface.flt,88,268493.76,87317.50,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,20,8,10313.76,81.50,9.64,12.05,2590.43,75.48,2,1,-1,-1,63,75.442653,-1,-1,-1,-1,0.00,0.00,75.48,0.00,0.000,2,268490.87315.c.1647186007.2.jpeg,C,0.69,690,518,1.000,10313.755307204,81.4978548498038
268435545,surface.flt,89,280587.44,114199.67,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,21,10,9498.44,5154.67,7.23,12.05,3406.95,5148.65,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,3406.95,0.00,0.000,2,280586.114198.c.1013341150.2.jpeg,C,0.69,690.000000000587,517.99999999979,1.000,9498.43669477443,5154.67004941586
268435546,surface.flt,90,296498.91,100968.63,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0,22,9,12500.91,2828.13,9.64,12.05,403.27,2822.11,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,403.27,0.00,0.000,2,296491.100967.c.1362865058.2.jpeg,C,0.69,690.000000000587,518.000000000482,1.000,12500.9094012494,2828.13422175034
268435547,surface.flt,91,293598.51,199654.69,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,22,18,9600.51,3373.69,12.05,12.04,3302.47,3367.67,2,1,-1,-1,63,81.245934,-1,-1,-1,-1,0.00,0.00,3302.47,0.00,0.000,2,293595.199654.c.-1357404856.2.jpeg,C,0.69,689.999999999749,518.000000000042,1.000,9600.51162483182,3373.68755410504
268435548,surface.flt,92,292537.50,106205.34,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,22,9,8539.50,8064.84,12.05,9.64,4363.48,2834.84,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,2834.84,0.00,0.000,2,292533.106204.c.1372060528.2.jpeg,C,0.69,689.999999999329,517.999999999602,1.000,8539.49506267556,8064.83962687672
268435549,surface.flt,93,295238.58,207368.89,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,22,19,11240.58,183.39,9.64,9.64,1663.60,178.57,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,178.57,0.00,0.000,2,295236.207369.c.-1702648161.2.jpeg,C,0.69,690.000000000671,518.000000000922,1.000,11240.5776506024,183.386026103632
268435550,surface.flt,94,290038.60,172660.97,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,22,15,6040.60,9093.47,12.05,7.23,6034.58,1807.42,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,1807.42,0.00,0.000,2,290039.172660.c.1504901015.2.jpeg,C,0.69,689.999999999581,517.999999999958,1.000,6040.6030573927,9093.47094668497
268435551,surface.flt,95,299614.36,141864.54,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,23,13,2707.36,106.04,7.23,12.04,2703.75,100.02,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,100.02,0.00,0.000,2,299607.141864.c.2011336309.2.jpeg,C,0.69,689.999999999665,517.999999999581,1.000,2707.36362836877,106.039283293707
268435552,surface.flt,96,303025.31,151347.22,12.05,0.00,0.00,0.00,0.00,0.00,0.00,0,23,13,6118.31,9588.72,7.23,12.04,6114.70,1309.75,2,1,-1,-1,63,58.03281,-1,-1,-1,-1,0.00,0.00,1309.75,0.00,0.000,2,303024.151346.c.-1115660620.2.jpeg,C,0.69,690.000000000754,517.99999999912,1.000,6118.31436260353,9588.7249704244
134217728,Prob.flt,0,259794.29,119487.37,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0,20,10,1614.29,10442.37,37.00,60.00,1595.79,432.13,6,1,-1,-1,7,0,0,0,30,30,0.00,0.00,432.13,0.00,0.000,1,259793.119486.c.-1615541774.1.jpeg,C,0.69,690.000000000293,518.000000000503,1.000,1614.2874061722,10442.3652582454
